Wn(um),Wp(um),Vm(V)
0.24,0.32,0.727579156
0.28,0.32,0.721185621
0.32,0.32,0.714791323
0.36,0.32,0.708928692
0.4,0.32,0.703252392
0.44,0.32,0.698044384
0.48,0.32,0.693113123
0.52,0.32,0.688579073
0.56,0.32,0.684180662
0.6,0.32,0.680283405
0.64,0.32,0.676309935
0.68,0.32,0.672754875
0.72,0.32,0.669427805
0.76,0.32,0.666072404
0.8,0.32,0.663047859
0.84,0.32,0.660261192
0.88,0.32,0.657324452
0.92,0.32,0.654665408
0.96,0.32,0.652205941
1,0.32,0.649876783
1.04,0.32,0.647389129
1.08,0.32,0.645142862
1.12,0.32,0.643041993
1.16,0.32,0.641065958
1.2,0.32,0.639046412
1.24,0.32,0.637022671
1.28,0.32,0.635169037
1.32,0.32,0.633411357
1.36,0.32,0.631748134
1.4,0.32,0.630152446
1.44,0.32,0.628404985
1.48,0.32,0.626761185
1.52,0.32,0.625222648
1.56,0.32,0.62377653
1.6,0.32,0.62238415
1.64,0.32,0.621045674
1.68,0.32,0.619704316
1.72,0.32,0.618263157
1.76,0.32,0.616910912
1.8,0.32,0.615632942
1.84,0.32,0.61441675
1.88,0.32,0.613257877
1.92,0.32,0.612130709
1.96,0.32,0.611038542
2,0.32,0.609968769
2.04,0.32,0.608767068
2.08,0.32,0.607630384
2.12,0.32,0.606549636
2.16,0.32,0.605516939
2.2,0.32,0.604525409
2.24,0.32,0.603577212
2.28,0.32,0.602646773
2.32,0.32,0.601742679
2.36,0.32,0.600860268
2.4,0.32,0.599994473
2.44,0.32,0.599009948
2.48,0.32,0.598070833
2.52,0.32,0.597171758
2.56,0.32,0.596307976
2.6,0.32,0.595475283
2.64,0.32,0.594669929
2.68,0.32,0.593888564
2.72,0.32,0.593134821
2.76,0.32,0.592389918
2.8,0.32,0.591661666
2.84,0.32,0.590947597
2.88,0.32,0.590245451
2.92,0.32,0.589478401
2.96,0.32,0.588698387
3,0.32,0.587947432
3.04,0.32,0.587222653
3.08,0.32,0.586521446
3.12,0.32,0.58584147
3.16,0.32,0.5851806
3.2,0.32,0.584536915
3.24,0.32,0.583908657
3.28,0.32,0.583302054
3.32,0.32,0.582697372
3.36,0.32,0.58210435
3.4,0.32,0.581521635
3.44,0.32,0.580947947
3.48,0.32,0.580382121
3.52,0.32,0.579792189
3.56,0.32,0.579152431
3.6,0.32,0.578533046
3.64,0.32,0.57793234
3.68,0.32,0.577348763
3.72,0.32,0.576780908
3.76,0.32,0.576227472
3.8,0.32,0.575687269
3.84,0.32,0.575159206
3.88,0.32,0.574642271
3.92,0.32,0.574135537
3.96,0.32,0.573638139
4,0.32,0.573149277
0.2,0.36,0.746043114
0.24,0.36,0.739237753
0.28,0.36,0.732240549
0.32,0.36,0.725473682
0.36,0.36,0.719274552
0.4,0.36,0.713282013
0.44,0.36,0.707737562
0.48,0.36,0.702578407
0.52,0.36,0.697737896
0.56,0.36,0.693195191
0.6,0.36,0.689037322
0.64,0.36,0.684906561
0.68,0.36,0.681250369
0.72,0.36,0.677615806
0.76,0.36,0.674203591
0.8,0.36,0.671115689
0.84,0.36,0.667984488
0.88,0.36,0.665047023
0.92,0.36,0.662352406
0.96,0.36,0.659804422
1,0.36,0.657117459
1.04,0.36,0.654693823
1.08,0.36,0.652434566
1.12,0.36,0.650303441
1.16,0.36,0.648025961
1.2,0.36,0.64592042
1.24,0.36,0.643941855
1.28,0.36,0.642084605
1.32,0.36,0.640312638
1.36,0.36,0.638404496
1.4,0.36,0.636596007
1.44,0.36,0.634922268
1.48,0.36,0.633323828
1.52,0.36,0.631802389
1.56,0.36,0.630337449
1.6,0.36,0.628754327
1.64,0.36,0.627225009
1.68,0.36,0.625788647
1.72,0.36,0.624439405
1.76,0.36,0.623135092
1.8,0.36,0.621882548
1.84,0.36,0.62067001
1.88,0.36,0.61940575
1.92,0.36,0.618102635
1.96,0.36,0.616871779
2,0.36,0.61570218
2.04,0.36,0.614584329
2.08,0.36,0.613517006
2.12,0.36,0.612475116
2.16,0.36,0.611464381
2.2,0.36,0.610478527
2.24,0.36,0.609433566
2.28,0.36,0.608359824
2.32,0.36,0.607337221
2.36,0.36,0.60635916
